,Year,Area
658,1961,0.404686
659,1961,0.404686
660,1961,15.378067999999999
661,1961,89.03092
662,1961,70.82005
663,1961,0.0
664,1961,36.42174
665,1961,26.30459
666,1961,50.58575
667,1961,36.42174
668,1961,2.02343
669,1961,0.404686
670,1961,0.404686
671,1961,0.0
672,1961,60.7029
673,1961,18.21087
674,1961,0.0
675,1961,161.8744
676,1961,161.8744
677,1961,2.428116
678,1961,362.59056228
679,1961,0.404686
680,1961,40.4686
681,1961,104.81367399999999
682,1961,70.82005
683,1961,80.9372
684,1961,34.39831
685,1961,0.404686
686,1961,0.0
687,1961,0.0
688,1961,12.14058
689,1961,0.0
690,1961,182.1087
691,1961,0.0
692,1961,130.308892
693,1961,5.665604
694,1961,25.090532
695,1961,0.0
696,1961,55.037296
697,1961,1.214058
698,1961,0.809372
699,1961,146.496332
700,1961,0.0
701,1961,0.404686
702,1961,4.04686
703,1961,10.521836
704,1961,0.809372
705,1961,14.16401
706,1961,2.428116
707,1961,0.0
708,1961,0.404686
709,1961,10.11715
710,1961,0.404686
711,1961,0.0
712,1961,0.0
713,1961,0.0
714,1961,0.0
715,1961,0.0
716,1961,2.428116
717,1961,0.0
718,1961,0.0
719,1961,0.0
720,1961,0.0
721,1961,1946.5598943
722,1961,32.37488
723,1961,2851.9396009399998
724,1961,0.0
725,1961,30.35145
726,1961,0.809372
727,1961,0.0
728,1961,0.0
729,1961,0.0
730,1961,0.404686
731,1961,0.0
732,1961,40.873286
733,1961,0.0
734,1961,0.0
735,1961,4.451546
736,1961,1.214058
737,1961,12.949952
738,1961,0.404686
739,1961,0.0
740,1961,7.284348
741,1961,0.0
742,1961,0.0
743,1961,0.0
744,1961,0.809372
745,1961,0.0
746,1961,0.404686
747,1961,1.618744
748,1961,0.0
749,1961,0.0
750,1961,0.0
751,1961,0.0
752,1961,0.0
753,1961,0.0
754,1961,0.0
755,1961,0.0
756,1961,0.0
757,1961,4.04686
758,1961,4.04686
759,1961,2.02343
760,1961,0.0
761,1961,4.04686
762,1961,0.0
763,1961,0.0
764,1961,0.404686
765,1961,60.7029
766,1961,610.8856575799999
767,1961,11.331208
768,1961,24.28116
769,1961,0.0
770,1961,8.09372
771,1961,0.0
772,1961,564.48840768
773,1961,952.6794063199999
774,1961,0.809372
775,1961,20.2343
776,1961,0.0
777,1961,13.354638
778,1961,0.809372
779,1961,0.404686
780,1961,350.08981174
781,1961,0.404686
782,1961,6.07029
783,1961,0.0
784,1961,0.0
785,1962,0.809372
786,1962,0.809372
787,1962,2.02343
788,1962,0.404686
789,1962,2.428116
790,1962,0.0
791,1962,0.0
792,1962,0.0
793,1962,0.0
794,1962,0.404686
795,1962,0.0
796,1962,0.0
797,1962,0.0
798,1962,0.0
799,1962,0.0
800,1962,24.28116
801,1962,4.04686
802,1962,4.04686
