"LAT","LONG","FIRENUMBER","FOREST","DISTRICT","YEAR","FIRENO","SIZECLAS","LS","SECTION","TWNSHIP","RANGE","MER","FORAREA","OWNSHIP","GENCAUSE","SPECAUSE","CAUSECLA","AGENCY","LOOKOUT","REPTD","TWDVEHI","FWDVEHI","TKEDVEHI","HCOPTER","FW","WALK","OTHERS","HRSTART","DAY","MON","HRDISC","DDAY","DMON","DISCTIME","REPDTIME","CREWSTAR","CREWBGN","CONTROL","EXTINGSED","PRIFUEL","SECFUEL","COVER","GFIREWX","OFIREWX","WINDIR","WINDVEL","WINDCHAR","ADMC","FWI","MEN","DOZERS","FWBOMBER","HEL","POWPUMPS","TANKERS","OTHER","MAXNOMEN","DISSIZE","IASIZE","RFAREA","CROWN","PRIVATE","TOTAL","MERAC","YCAC","YDAC","YMAC","POTAC","NOPOTAC","MFBM","CCORDS","DCORDS","DSANT","PRODV","PPV","SUPCOST"
57.2116,-111.6809,"DA3-012-61","A","3",61,12,1,"05",2,95,11,4,0,1,6,11,0,7,NA,1,0,0,0,41,0,0,0,130,5,8,145,5,8,15,28,9,7,2,7,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344
57.2098,-110.093,"DA3-013-61","A","3",61,13,5,"00",4,95,1,4,0,1,9,27,8,5,NA,2,0,0,0,7,53,0,0,160,24,8,160,27,8,720,0,40,117,798,395,0,1,0,0,0,8,15,0,0,0,37,0,0,0,0,0,0,0,0,200,0,654.8,0,654.8,0,0,0,0,0,0,0,0,0,0,0,0,8861
57.5133,-111.1391,"DA3-014-61","A","3",61,14,5,"04",19,98,7,4,0,1,1,1,0,5,NA,2,0,0,0,7,43,0,0,210,25,8,177,27,8,447,1,99,50,547,428,0,1,0,0,0,8,11,0,0,0,5,0,0,0,0,0,0,0,300,1200,0,1297.02,0,1297.02,0,0,0,0,0,0,0,0,0,0,0,0,4797
58.0621,-111.5549,"DA4-001-61","A","4",61,1,2,"16",27,104,10,4,0,1,1,1,0,1,"BI",1,0,0,0,7,84,0,0,130,31,5,170,31,5,40,0,20,145,0,15,0,6,0,0,0,5,15,0,0,0,3,0,0,0,0,0,0,0,1,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,705
57.9967,-112.5772,"DA4-002-61","A","4",61,2,5,"08",4,104,16,4,0,1,1,1,0,5,NA,2,0,0,0,2,44,0,0,145,4,6,180,7,6,755,20,90,70,3091,2439,0,1,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,80,80,0,6575.82,0,6575.82,0,0,0,0,0,0,0,0,0,0,0,0,23610
57.9949,-113.5471,"DA4-003-61","A","4",61,3,4,"00",3,104,22,4,0,1,1,1,0,8,NA,1,0,0,0,0,0,0,0,160,8,6,180,8,6,20,10,99,22,340,736,0,0,0,0,0,5,10,0,0,0,4,0,0,0,0,0,0,0,15,0,0,106,0,106,0,0,0,0,0,0,0,0,0,0,0,0,6031
58.0676,-112.6358,"DA4-004-61","A","4",61,4,3,"00",31,104,16,4,0,1,9,27,8,5,NA,1,0,0,0,30,0,0,0,180,10,6,195,10,6,15,2,72,3,531,231,0,1,0,0,0,6,15,0,0,0,8,0,0,0,0,0,0,0,5,10,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1482
58.0385,-112.083,"DA4-005-61","A","4",61,5,5,"00",21,104,13,4,0,1,1,1,0,1,"BI",1,0,0,0,18,0,0,0,206,4,6,97,11,6,1571,1,42,10,2155,9999,0,1,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,40,250,0,6576.32,0,6576.32,0,0,0,0,0,0,0,0,0,0,0,0,33725
57.8332,-113.0101,"DA4-006-61","A","4",61,6,2,"04",11,102,19,4,0,1,1,1,0,5,NA,1,0,0,0,4,0,0,0,100,12,6,109,12,6,9,1,0,2,27,181,0,1,0,0,0,6,15,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1688
58.0475,-110.8781,"DA4-007-61","A","4",61,7,3,"14",23,104,6,4,0,1,1,1,0,1,"RI",1,0,0,0,0,116,0,0,160,7,7,164,7,7,4,1,33,17,127,318,0,1,0,0,0,7,8,0,0,0,5,0,0,0,0,0,0,0,35,70,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,2135
